uuid,city,state,ref_link,gallons,description,date,latitude,longitude,accident_type
9b9020c9-5c10-4640-b250-ad4ca0d37ba4,Pensacola,Florida,N/A,N/A,"On June 13, in Pensacola, Florida, at least ten persons were injured when two natural gas lines ruptured and exploded after a parking lot gave way beneath a cement truck at a car dealership. The blast sent chunks of concrete flying across a four-lane road, and several employees and customers at neighboring businesses were evacuated. About 25 cars at the dealership and ten boats at a neighboring business were damaged or destroyed.",2001-06-13,30.421309,-87.2169149,gas
5a7358d5-0b0b-40ef-865c-8591190df5f8,Manheim,Pennsylvania,N/A,N/A,"On July 24, a pipeline ruptured and spread burning gasoline near Manheim, Pennsylvania.",2001-07-24,40.1634279,-76.3949614,oil
fe8d146b-55aa-4354-96b2-6e53fee4aa1e,Williams,Arizona,N/A,N/A,"On August 11, at approximately 5:05 a.m. MST, an El Paso Natural Gas 24-inch gas transmission pipeline failed near Williams, Arizona, resulting in the release of natural gas. The natural gas continued to discharge for about an hour before igniting. Stress corrosion cracking was determined to be the cause of the failure.",2001-08-11,35.2494566,-112.1910031,gas
d17a1b6b-da5e-4cfb-90d3-12081e4a72b0,Weatherford,Texas,N/A,N/A,"On August 12, a bulldozer hit a 14-inch LP gas pipeline near Weatherford, Texas, causing a massive fire. One person was injured.",2001-08-12,32.7592955,-97.7972544,oil
8acb3550-58f6-456c-bb9e-afde6275644a,an,Oklahoma,N/A,N/A,"On August 17, an Oklahoma crude oil pipeline ruptured after being struck by a machine cleaning roadside ditches, sending oil 30 feet (9.1 m) into the air and damaging nearby cotton crops with up to 150,000 US gallons (570,000 L) spilled.",2001-08-17,35.309362,-97.3162898,oil
1584a49d-48e8-4bb3-8bef-8fa7d6c2f7a2,in,Louisiana,N/A,15000,"On September 3, at approximately 1 p.m. CST, a rupture occurred near the intersection of the 22-inch T-ML Pipeline and the Black Bayou in Louisiana, resulting in the release of an estimated 8.00 mmcf to 13.00 mmcf of natural gas. In addition, the liquids loss is estimated to be 15,000 gallons.",2001-09-03,30.9842977,-91.9623327,gas
da1de9dd-0af2-47a3-987f-6808c4c0e9b4,N/A,Alaska,N/A,285000,"On October 4, a drunken man used a rifle to shoot a hole in the Alaskan Pipeline. More than 285,000 gallons of crude oil were spilled, costing more $13 million to clean up. The man was later convicted in Court.",2001-10-04,64.2008413,-149.4936733,oil
47c0fc49-47c4-4721-a0d6-562dfc92bf89,Sweeny,Texas,N/A,195000,"On October 15, a 6-inch ConocoPhillips LPG pipeline failed near Sweeny, Texas, forcing 2 dozen residents to evacuate. About 195,000 gallons of LPG were lost.",2001-10-15,29.0388615,-95.6985608,oil
a73c4cc3-461f-4337-98f2-147c5f21eebc,Vidor,Texas,N/A,N/A,"On or about November 27, approximately 2,575 barrels of Jet A Kerosene (Jet Fuel) discharged from the P-62 pipeline of the TEPPCO Pipeline System into tributaries of the Neches River and the Neches River itself. The release occurred 4 miles southeast of Vidor, Texas. This spill was caused by disbonded coating and external corrosion on the pipeline. This incident was later part of a U.S. Environmental Protection Agency consent decree.",2001-11-27,30.1316001,-94.0154541,oil
0fb6e490-96fc-4944-9658-d39373562e8e,Algona,Iowa,N/A,N/A,"On December 14, an anhydrous ammonia spill near Algona, Iowa killed nearly 1.3 million fish, the largest fish kill on that state's record-to-date, Iowa state officials said. More than 58,000 US gallons (220,000 L) of anhydrous ammonia over a nine-hour period spilled into Lotts Creek and the Des Moines River, killing minnows, bass and other game fish. Koch Industries owned the 8-inch pipeline, and was doing maintenance work on a valve on the pipeline. The plume drifted over a six-mile (10 km) area causing officials to evacuate residents in its path.",2001-12-14,43.0699663,-94.233019,oil
d068fc9a-5557-4211-9497-e104198ad8ad,County,Oklahoma,N/A,N/A,"On February 8, a trenching machine with a new rock bit being tested hit a 20-inch gas transmission pipeline in Noble County, Oklahoma, causing an explosion that killed the trencher operator.",2002-02-08,35.6038323,-97.3516558,oil
322c1c5a-ea16-4dc7-af56-82f2b37dc6d8,Sterling,Kentucky,N/A,N/A,"On March 6, an explosion and a massive fire hit a Tennessee Gas Pipeline natural gas substation near Mount Sterling, Kentucky. 30 families in the area voluntarily evacuated. There were no injuries.",2002-03-06,38.0564679,-83.9432556,gas
3e8721d5-06e5-45db-abdb-a12220f39179,Wren,Ohio,N/A,1500,"On March 13, a Buckeye Partners pipeline ruptured due to internal corrosion in Wren, Ohio, spilling about 1500 gallons of gasoline.",2002-03-13,40.8008809,-84.7752399,oil
1a159c14-b550-4007-b4b0-02ccad176c43,Alexandria,Virginia,N/A,N/A,"On or about March 13, approximately 20 barrels of oil or jet fuel were discharged from a portion of the Plantation Pipeline in Alexandria, Virginia, some of which entered into an unnamed tributary of Hooff Run and its adjoining shorelines. The pipeline failure appears to have resulted from a hole in the pipeline caused by high-voltage arcing between the pipeline and a utility pole anchor.",2002-03-13,38.8048355,-77.0469214,oil
a1278e0e-4f7d-492f-8638-192dd40f5cfe,Falls,Michigan,N/A,N/A,"On March 15, a failure occurred on a 36-inch gas pipeline near Crystal Falls, Michigan. The failure resulted in a release of gas, which did not ignite, that created a crater 30 feet (9.1 m) deep, 30 feet (9.1 m) wide, and 120 feet (37 m) long. There were no deaths or injuries.",2002-03-15,46.4719085,-85.4276954,oil
1ed20c9c-b750-480d-a595-5986141d95cb,in,Louisiana,N/A,N/A,"On April 6, a BP-Amoco pipeline ruptured and released about 100,000 US gallons (380,000 L) of oil into a coastal area known as Little Lake in Louisiana.",2002-04-06,30.9842977,-91.9623327,oil
0cd994a9-9bb3-480d-af93-86836ee43c92,Ottawa,Kansas,N/A,N/A,"On May 22, an 8-inch petroleum products pipeline failed, spilling about 2,000 barrels of unleaded gasoline on to a wheat field near Ottawa, Kansas. Booms had to be deployed in nearby creeks. The pipe failed along a seam, possibly due to LF-ERW pipeline failure issues.",2002-05-22,38.615768,-95.2686366,oil
50cbf92d-3af1-45a9-a3d6-2feb427d5067,and,New York,N/A,N/A,"On June 20, PHMSA ordered Columbia Gas Transmission Company to do extensive repair to one of their gas transmission pipelines in the states of Pennsylvania and New York, after finding extensive wall thinning on sections of that pipeline system caused by external corrosion. Approximately 800 anomalies with wall thickness losses of greater than 65 percent were found during a smart pig examination, with 76 of the found anomalies having a wall thickness loss of greater than 80 percent. Many of the affected sections of pipe were older sections lacking coating, which is known to reduce external corrosion on pipelines.",2002-06-20,40.7127837,-74.0059413,oil
15f0c722-3f6e-4715-bc09-685e91bb0f96,Cohasset,Minnesota,N/A,N/A,"On July 4, there was a rupture of an Enbridge Pipeline, and release of crude oil near Cohasset, Minnesota. The pipeline ruptured in a marsh in Itasca County, spilling 6,000 barrels (950 m3) of crude oil. In an attempt to keep the oil from contaminating the Mississippi River, the Minnesota Department of Natural Resources set a controlled burn that lasted for one day and created a smoke plume about 1 mile (1.6 km) high and 5 miles (8 km) long. The pipe failed due to cracking caused by train shipping induced cracking of the pipe being delivered.",2002-07-04,47.2640071,-93.6221657,oil
bcea817e-ad48-4c51-9795-d920bc2c0f9e,Hopkinton,Massachusetts,N/A,N/A,"On July 24 a gas explosion leveled a Hopkinton, Massachusetts house, killing a 4-year-old girl and her 5-year-old sister. A failed sleeve on the gas line in the basement of the house was suspected of being the cause.",2002-07-24,42.2286954,-71.5225646,oil
84ee7f14-33df-4cd9-94f8-24af1fae4a6a,Lanham,West Virginia,N/A,N/A,"On August 5, a natural gas pipeline exploded and caught fire west of Rt. 622, on Poca River Road near Lanham, West Virginia. Emergency workers evacuated three or four families. Kanawha and Putnam Counties in the area were requested to shelter in place. Parts of the pipeline were thrown hundreds of yards away, around, and across Poca River. The fire was not contained for several hours because valves to shut down the line did not exist. The Orange Glow from the fire at 11 PM; could be seen for several miles. The explosion and fire caused in $2,735,339 property damage.",2002-08-05,38.4770368,-81.73874,gas
671025a6-28fc-457d-90d2-ce84b4327b7f,Glendive,Montana,N/A,N/A,"On September 20, at around 22:10 a gasoline leak from an 8-inch pipeline operated by Cenex Pipeline (terminal) was discovered near Glendive, Montana. The release of bout1,000 barrels (160 m3) of unleaded gasoline flowed into Seven Mile Creek, and then downstream to its confluence with the Yellowstone River. Several trenches were constructed near the ruptured pipe for product collection points. As of September 25, 2002, a vacuum truck had recovered approximately 21,000 US gallons (79,000 L) of gasoline [and water] from the boomed locations and trenches.",2002-09-20,47.106401,-104.7107931,oil
8b0ef5e1-c526-4305-a564-13795a358f4a,Corinne,Utah,N/A,N/A,"On November 2, a Chevron pipeline ruptured near Corinne, Utah, spilling about 450 barrels of petroleum. The cause was from external corrosion.",2002-11-02,41.5510441,-112.1102262,oil
8547e349-7d46-42bb-8ff5-4b058c778ef6,Lawrence,Kansas,N/A,4700,"On December 10, a farmer plowing a field hit and ruptured a Williams Companies pipeline, near Lawrence, Kansas. About 4,700 gallons of gasoline were spilled. Later, it was noted that particular pipeline lacked soil coverage in places, including some exposed spots. There were no injuries.",2002-12-10,38.9716689,-95.2352501,oil
58436421-cc61-41f8-a4ac-e388bdbf3389,County,Wisconsin,N/A,N/A,"On January 24, an Enbridge crude oil pipeline ruptured at a terminal in Douglas County, Wisconsin. Some of the crude oil flowed into the Nemadji River. Over 100,000 US gallons (380,000 L) were spilled.",2003-01-24,44.4747774,-90.0746767,oil
a601f6ca-645a-4107-8dd2-e3d2bd6f10b8,Viola,Illinois,N/A,N/A,"On February 2, a natural gas pipeline ruptured near Viola, Illinois, resulting in the release of natural gas which ignited. A l6-foot section of the pipe fractured into three sections, which were ejected to distances of about 300 yards from the failure site.",2003-02-02,41.2030911,-90.5870792,gas
f0d9c678-f9ec-46e0-972e-647ba0b5001c,County,Missouri,N/A,N/A,"On February 20, a 24-inch gas transmission pipeline started leaking in Scott County, Missouri, underneath the Mississippi River. A shifted pipeline weight has caused damage to the pipeline.",2003-02-20,37.2173919,-91.0314099,oil
9f9066ca-3ab0-4712-91a3-ee320aa908d4,Hull,Georgia,N/A,N/A,"On or about February 22, 2003, approximately 788 barrels of gasoline were discharged from a portion of Plantation Pipeline in Hull, Georgia, some of which entered into an unnamed tributary of East Sandy Creek and its adjoining shorelines. The spill resulted from a failed gasket on a buried block valve.",2003-02-22,34.0148352,-83.2937659,oil
e96706e7-ae81-4afe-bc94-f884ad38594f,Samaria,Michigan,N/A,N/A,"On February 27, dropping temperatures caused an Enbridge pipeline to fail in Samaria, Michigan. 130 barrels of crude oil were spilled.",2003-02-27,41.808103,-83.578269,oil
01d00591-4a9d-43fb-b382-88fb662b4973,Appling,Georgia,N/A,110000,"On March 13, a seam failed on an 8-inch Dixie Pipeline propane line near Appling, Georgia, releasing about 110,000 gallons of propane. There were no injuries. The pipe split due to seam failure.",2003-03-13,33.54609,-82.3163154,oil
3b94c3ed-ebb6-4ea9-8ba4-cee5fdcfd280,Eaton,Colorado,N/A,N/A,"On March 23, a 24-inch El Paso Natural Gas pipeline near Eaton, Colorado exploded. The explosion sent flames 160 meters in the air, forcing evacuations. No one was injured. The heat from the flames melted the siding of two nearby houses and started many smaller grass fires.",2003-03-23,40.5194046,-104.702515,gas
148ad61c-439f-4252-adcd-08a02dc9db97,City,Oklahoma,N/A,N/A,"On April 1, a 12-inch ConocoPhillips petroleum products pipeline ruptured, spilling about 1,000 barrels of Diesel fuel near Ponca City, Oklahoma, with of the fuel getting into Doga Creek. There were no injuries. Low Frequency ERW pipe seam failure was suspected as the cause.",2003-04-01,35.4675602,-97.5164276,oil
5332c048-c83b-4cc8-8757-ab622433de3d,Tapps,Washington,N/A,N/A,"On May 1, a 26-inch Williams Companies natural gas transmission pipeline failed near Lake Tapps, Washington. A neighboring elementary school, a supermarket, and 30 to 40 houses in approximately a 4-mile (6.4 km) area were evacuated. There was no fire or injuries. Land movement was suspected at first, but the failure was later determined to be from stress corrosion cracking. There were four previous failures on this pipeline in the preceding eight years.",2003-05-01,47.241368,-122.1844809,gas
19bcbef1-8bc3-4db9-b5e7-14ea63711a68,Lebanon,Ohio,N/A,N/A,"On May 8, an 8-inch LPG pipeline failed near Lebanon, Ohio. About 80 houses and one school in the area were evacuated. There was no fire or injuries.",2003-05-08,39.4353373,-84.2029922,oil
64661855-09a7-457d-b0e3-bf9de5357dfd,Nederland,Texas,N/A,N/A,"On May 20, a 30-inch gas pipeline exploded and burned near Nederland, Texas. The cause of the failure was internal corrosion, and the damages were stimated to be $6,901,322.",2003-05-20,29.9743803,-93.9923965,oil
1b08d145-408c-4f49-a466-115c7399e7e1,Wilmington,Delaware,N/A,N/A,"On July 2, excavation damage to a natural gas distribution line resulted in an explosion and fire in Wilmington, Delaware. A contractor hired by the city of Wilmington to replace sidewalk and curbing, dug into an unmarked natural gas service line with a backhoe. Although the service line did not leak where it was struck, the contact resulted in a break in the line inside the basement of a nearby building, where gas began to accumulate. A manager for the contractor said that he did not smell gas and therefore did not believe there was imminent danger and that he called an employee of the gas company and left a voice mail message. At approximately 1:44 p.m., an explosion destroyed two residences and damaged two others to the extent that they had to be demolished. Other nearby residences sustained some damage, and the residents on the block were displaced from their houses for about a week. Three contractor employees sustained serious injuries. Eleven additional people sustained minor injuries.",2003-07-02,39.7390721,-75.5397878,gas
96c56a9a-97fc-40f9-abc9-26ff67e02d31,found,New Mexico,N/A,N/A,"On July 3, a jury found Texas-New Mexico Pipeline (TNMP) Company guilty of fraud, gross negligence and willful misconduct in concealing a 1992 crude oil pipeline leak beneath a Midland, Texas residential subdivision, before selling the pipeline to EOTT Energy in 1999. Oil was discovered in the water table in late 2000, and in March 2001 a group of Midland residents sued EOTT, TNMP and Equilon. Residents living on affected land also received settlements. The spill was estimated in 2003 to be 9,000–13,000 barrels. 190 boxes full of TNMP documents about the pipeline dating from the late 1980s to early 1990s (prior to EOTT Energy taking over the pipeline) were dug up from a 45-foot-deep hole at a site along the company's pipeline in New Mexico.",2003-03-2001,32.4024104,-106.6504153,oil
378a0834-09b0-4cc6-bfc0-5331a94d5177,County,Illinois,N/A,N/A,"On July 10, a 16-inch Citgo petroleum products pipeline failed in Cook County, Illinois. About 25 barrels of gasoline were spilled from the pipeline. A crack in the pipe had developed at a dent. There was no fire or injured reported.",2003-07-10,37.5086525,-89.2847251,oil
5bd3217d-b3f1-4595-bdbf-87b745e03232,County,North Dakota,N/A,N/A,"On July 16, a 12 3/4-inch pipeline burst in Barnes County, North Dakota, releasing 9,000 barrels of propane, which ignited. There were no casualties. During repairs, mechanical damage was seen on 2 nearby section of this pipeline.",2003-07-16,44.731554,-93.1779659,oil
f60a7ea4-9ba9-4425-8438-3e59e5431d8b,Tucson,Arizona,N/A,16548,"On July 30, a Kinder Morgan pipeline in Tucson, Arizona ruptured, and sprayed 16,548 gallons of gasoline on five houses under construction, and flooding nearby streets with gasoline. The resulting pipeline closure caused major gas shortages and price increases in the state. The failure at first was thought to be from LF-ERW flaws, but tests showed it was due to stress corrosion cracking. A hydrostatic test that was performed on this pipeline after repairs failed again 40 feet (12 m) from the first failure.",2003-07-30,32.2217429,-110.926479,oil
938ba449-b392-4467-ac4d-565c1840a475,County,Oklahoma,N/A,N/A,"On August 8, a 26-inch Kinder Morgan and Myria Holdings Natural Gas Pipeline Company of America transmission pipeline ruptured in Caddo County, Oklahoma, releasing about 84,000 MCF of natural gas. A 54-foot long section of 26"" diameter pipe had blown out and landed 30 feet from the ditch. Evacuations took place within 3/4 of a mile from the release, but there was no fire or casualties. Stress corrosion cracking was identified as the pipe failure's cause.",2003-08-08,35.6038323,-97.3516558,gas
1d7fddc9-c3fd-468b-9dac-7497939f3134,Cahokia,Illinois,N/A,N/A,"On September 26, a propane pipeline at the Phillips Petroleum storage facility in Cahokia, Illinois ruptured, sending flames high into the air and sparking small grass fires in the area.",2003-09-26,38.5708849,-90.1901113,oil
88a0946f-fb20-4743-b2f1-a16b0225abea,County,Kansas,N/A,N/A,"On October 6, a 12-inch petroleum products pipeline ruptured in Johnson County, Kansas, spilling about 100 to 200 barrels of Diesel fuel. Some of the Diesel contaminated a nearby waterway. There were no injuries.",2003-10-06,37.6540069,-99.8124935,oil
cf01ea38-29c5-4aad-9e4b-f90ae1f6d024,City,Michigan,N/A,N/A,"On October 13, a failure on an Enbridge pipeline near Bay City, Michigan spilled 500 barrels of crude oil.",2003-10-13,41.7075394,-86.8950297,oil
eddb8320-86a6-41b3-b1c9-5718f68a7f68,County,Indiana,N/A,N/A,"On October 14, a leak on what was originally the Big Inch 24-inch of natural gas occurred in Orange County, Indiana. There were no injuries or evacuations. The pipeline had been installed in 1943.",2003-10-14,40.6850762,-79.1096901,gas
7bc20c00-f94c-4907-9ac7-34e15e79a2a3,County,Kentucky,N/A,N/A,"On November 2, a Texas Eastern Transmission natural gas pipeline exploded in Bath County, Kentucky, about 1.5 km south of a Duke Energy pumping station. A fire burned for about an hour before firefighters extinguished it. No one was injured and no property damage was reported.",2003-11-02,37.6638744,-87.972681,gas
d218960d-bcbb-43a0-8b74-de5ec7cfe1bf,Mazon,Illinois,N/A,N/A,"On November 9, an 8-inch Buckeye Partners pipeline failed near Mazon, Illinois. While repairs were being tested on this pipeline on November 14, another section of this pipeline failed about 1500 feet from the first leak. About ten barrels of gasoline and Diesel fuel were spilled by the two leaks, requiring soil removal. External corrosion caused both failures. There were no injuries.",2003-11-09,41.2414216,-88.4195101,oil
14c44bcb-ebb3-426e-b5a6-5a576cb98407,County,Washington,N/A,N/A,"On December 13, another section of the same Williams Companies gas transmission pipeline that failed on May 1, 2003, failed in Lewis County, Washington. There was no fire this time. Gas flowed for three hours before being shut off. Gas pressure had already been reduced 20% on this pipeline after the May 1 explosion. External corrosion and stress corrosion cracking were seen in this failed area of pipe.",2003-05-01,40.1367719,-80.1875065,oil
554ae005-d9ab-4506-a779-729e66c7046a,Davenport,New York,N/A,N/A,"On January 25, a TEPPCO 8-inch propane pipeline failed, near Davenport, New York. The propane ignited, destroying a trailer house, and forcing evacuations. About 5,000 barrels of propane were burned. There were no injuries. The incident resulted from a through-wall failure of the pipe material at a fitting that was attached to the top of the pipe.",2004-01-25,42.4717451,-74.8446009,oil
bd97fb9c-a6cf-4bbd-95ee-e09bd3f67f20,Kingsland,Arkansas,N/A,N/A,"On March 12, a TEPPCO pipeline spilled about 500 barrels of unleaded gasoline spilled into the Moro Creek, which flows into the Sabine River near Kingsland, Arkansas. The cause was corrosion of a 1/2-inch bleeder line, that was part of a 20-inch pipeline block valve used to equalize pressure across the valve.",2004-03-12,33.8584369,-92.2940372,oil
